date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,sqft_above,yr_built,airconditioning,basement,city,statezip,country
5/2/2014 0:00,313000,3,1.5,1340,7912,1.5,0,0,1340,1955,yes,no,Shoreline,WA 98133,USA
5/2/2014 0:00,2384000,5,2.5,3650,9050,2,0,4,3370,1921,yes,no,Seattle,WA 98119,USA
5/2/2014 0:00,342000,3,2,1930,11947,1,0,0,1930,1966,no,yes,Kent,WA 98042,USA
5/2/2014 0:00,420000,3,2.25,2000,8030,1,0,0,1000,1963,yes,yes,Bellevue,WA 98008,USA
5/2/2014 0:00,550000,4,2.5,1940,10500,1,0,0,1140,1976,yes,yes,Redmond,WA 98052,USA
5/2/2014 0:00,490000,2,1,880,6380,1,0,0,880,1938,yes,yes,Seattle,WA 98115,USA
5/2/2014 0:00,335000,2,2,1350,2560,1,0,0,1350,1976,yes,no,Redmond,WA 98052,USA
5/2/2014 0:00,482000,4,2.5,2710,35868,2,0,0,2710,1989,no,no,Maple Valley,WA 98038,USA
5/2/2014 0:00,452500,3,2.5,2430,88426,1,0,0,1570,1985,yes,yes,North Bend,WA 98045,USA
5/2/2014 0:00,640000,4,2,1520,6200,1.5,0,0,1520,1945,yes,no,Seattle,WA 98115,USA
5/2/2014 0:00,463000,3,1.75,1710,7320,1,0,0,1710,1948,yes,yes,Lake Forest Park,WA 98155,USA
5/2/2014 0:00,1400000,4,2.5,2920,4000,1.5,0,0,1910,1909,no,yes,Seattle,WA 98105,USA
5/2/2014 0:00,588500,3,1.75,2330,14892,1,0,0,1970,1980,yes,no,Sammamish,WA 98074,USA
5/2/2014 0:00,365000,3,1,1090,6435,1,0,0,1090,1955,no,no,Seattle,WA 98106,USA
5/2/2014 0:00,1200000,5,2.75,2910,9480,1.5,0,0,2910,1939,no,no,Seattle,WA 98105,USA
5/2/2014 0:00,242500,3,1.5,1200,9720,1,0,0,1200,1965,no,yes,Kent,WA 98042,USA
5/2/2014 0:00,419000,3,1.5,1570,6700,1,0,0,1570,1956,yes,yes,Bellevue,WA 98007,USA
5/2/2014 0:00,367500,4,3,3110,7231,2,0,0,3110,1997,yes,no,Auburn,WA 98092,USA
